scale,label,E_i,G_i_rel,C_loss,mAP50-95_full,mAP50-95_masked,dAP
16,P3/8-small,0.42723559588193893,0.35028355638393116,0.29801620965166714,0.385166143269345,0.3678236324143354,0.017342510855009596
19,P4/16-medium,0.2830992862582207,0.369712610430509,0.6014933647621783,0.385166143269345,0.3328235232502864,0.052342620019058594
22,P5/32-large,0.3195256441831589,0.2800038331855598,0.5127591141183117,0.385166143269345,0.19924784654542954,0.18591829672391547
